Id,Country,City,Flt No,Eff_date,Disc_date,Freq,Freq_Day_Name,Dep,DepartT,Arr,ArriveT,BlockTime,Subfleet
,China,Shanghai,XW857,01/01/19,30/03/19,......7,Sun,PVG,3:35,DMK,7:35,5:00,772
,China,Shanghai,XW858,01/01/19,30/03/19,.2.4.67,TueThuSatSun,DMK,19:30,PVG,0:45,4:15,772
,China,Shanghai,XW857,31/03/19,31/03/19,......7,Sun,PVG,3:35,DMK,7:35,5:00,772
,China,Shanghai,XW858,31/03/19,20/04/19,.2.4.67,TueThuSatSun,DMK,19:30,PVG,0:45,4:15,772
,China,Shanghai,XW857,01/04/19,21/04/19,1.3.5.7,MonWedFriSun,PVG,2:00,DMK,5:30,4:30,772
,China,Shanghai,XW858,23/04/19,04/05/19,.2.4.6.,TueThuSat,DMK,19:30,PVG,0:45,4:15,772
,China,Shanghai,XW857,24/04/19,05/05/19,..3.5.7,WedFriSun,PVG,2:00,DMK,5:30,4:30,772
,China,Shanghai,XW858,05/05/19,11/05/19,.2.4.67,TueThuSatSun,DMK,0.8125,PVG,0:45,4:15,772
,China,Shanghai,XW857,06/05/19,12/05/19,1.3.5.7,MonWedFriSun,PVG,2:00,DMK,5:30,4:30,772
,China,Shanghai,XW858,14/05/19,15/06/19,.2.4.67,TueThuSatSun,DMK,19:30,PVG,0:45,4:15,772
,China,Shanghai,XW857,15/05/19,16/06/19,1.3.5.7,MonWedFriSun,PVG,2:00,DMK,5:30,4:30,772
,China,Shanghai,XW858,18/06/19,26/10/19,.2.4.67,TueThuSatSun,DMK,19:30,PVG,0:45,4:15,772
,China,Shanghai,XW857,19/06/19,25/10/19,1.3.5.7,MonWedFriSun,PVG,2:00,DMK,5:30,4:30,772
,China,Shanghai,XW858,27/10/18,31/12/18,.2.4.67,TueThuSatSun,DMK,19:30,PVG,0:45,4:15,772
,China,Shanghai,XW857,27/10/18,31/12/18,1.3.5.7,MonWedFriSun,PVG,2:00,DMK,5:30,4:30,772
,China,Nanjing,XW888,01/01/19,30/03/19,1234567,MonTueWedThuFriSatSun,DMK,14:00,NKG,18:50,3:50,772
,China,Nanjing,XW887,01/01/19,30/03/19,1234567,MonTueWedThuFriSatSun,NKG,20:10,DMK,23:20,4:10,772
,China,Nanjing,XW888,31/03/19,24/07/19,1234567,MonTueWedThuFriSatSun,DMK,14:00,NKG,18:50,3:50,772
,China,Nanjing,XW887,31/03/19,24/07/19,1234567,MonTueWedThuFriSatSun,NKG,20:10,DMK,23:20,4:10,772
,China,Nanjing,XW888,25/07/19,25/07/19,...4...,Thu,DMK,16:10,NKG,21:00,3:50,772
,China,Nanjing,XW887,25/07/19,25/07/19,...4...,Thu,NKG,22:15,DMK,1:25,4:10,772
,China,Nanjing,XW888,26/07/19,26/07/19,....5..,Fri,DMK,17:30,NKG,22:20,3:50,772
,China,Nanjing,XW887,26/07/19,26/07/19,....5..,Fri,NKG,23:35,DMK,2:45,4:10,772
,China,Nanjing,XW888,27/07/19,26/10/19,1234567,MonTueWedThuFriSatSun,DMK,14:00,NKG,18:50,3:50,772
,China,Nanjing,XW887,27/07/19,26/10/19,1234567,MonTueWedThuFriSatSun,NKG,20:10,DMK,23:20,4:10,772
,China,Nanjing,XW888,27/10/18,31/12/18,1234567,MonTueWedThuFriSatSun,DMK,14:00,NKG,18:50,3:50,772
,China,Nanjing,XW887,27/10/18,31/12/18,1234567,MonTueWedThuFriSatSun,NKG,20:10,DMK,23:20,4:10,772
,China,Tianjin,XW880,01/01/19,30/03/19,.2.4567,TueThuFriSatSun,DMK,11:20,TSN,17:00,4:40,772
,China,Tianjin,XW879,01/01/19,30/03/19,.2.4567,TueThuFriSatSun,TSN,18:15,DMK,22:00,4:45,772
,China,Tianjin,XW880,31/03/19,19/07/19,.2.4567,TueThuFriSatSun,DMK,11:20,TSN,17:00,4:40,772
,China,Tianjin,XW879,31/03/19,19/07/19,.2.4567,TueThuFriSatSun,TSN,18:15,DMK,22:00,4:45,772
,China,Tianjin,XW880,20/07/19,20/07/19,.....6.,Sat,DMK,16:10,TSN,21:50,4:40,772
,China,Tianjin,XW879,20/07/19,20/07/19,.....6.,Sat,TSN,23:05,DMK,2:50,4:45,772
,China,Tianjin,XW880,21/07/19,30/07/19,.2....7,TueSun,DMK,11:20,TSN,17:00,4:40,772
,China,Tianjin,XW879,21/07/19,30/07/19,.2....7,TueSun,TSN,18:15,DMK,22:00,4:45,772
,China,Tianjin,XW880,25/07/19,25/07/19,...4...,Thu,DMK,13:40,TSN,19:20,4:40,772
,China,Tianjin,XW879,25/07/19,25/07/19,...4...,Thu,TSN,20:35,DMK,0:20,4:45,772
,China,Tianjin,XW880,26/07/19,26/07/19,....5..,Fri,DMK,15:30,TSN,21:10,4:40,772
,China,Tianjin,XW879,26/07/19,26/07/19,....5..,Fri,TSN,22:25,DMK,2:10,4:45,772
,China,Tianjin,XW880,27/07/19,27/07/19,.....6.,Sat,DMK,16:20,TSN,22:00,4:40,772
,China,Tianjin,XW879,27/07/19,27/07/19,.....6.,Sat,TSN,23:15,DMK,3:00,4:45,772
,China,Tianjin,XW880,01/08/19,26/10/19,.2.4567,TueThuFriSatSun,DMK,11:20,TSN,17:00,4:40,772
,China,Tianjin,XW879,01/08/19,26/10/19,.2.4567,TueThuFriSatSun,TSN,18:15,DMK,22:00,4:45,772
,China,Tianjin,XW880,05/08/19,23/10/19,1.3....,MonWed,DMK,15:20,TSN,21:00,4:40,772
,China,Tianjin,XW879,05/08/19,23/10/19,1.3....,MonWed,TSN,22:20,DMK,2:05,4:45,772
,China,Tianjin,XW880,24/10/18,31/12/18,1.3....,MonWed,DMK,15:20,TSN,21:00,4:40,772
,China,Tianjin,XW879,24/10/18,31/12/18,1.3....,MonWed,TSN,22:20,DMK,2:05,4:45,772
,China,Qingdao,XW886,01/01/19,30/03/19,..3.5.7,WedFriSun,DMK,15:20,TAO,21:25,5:05,772
,China,Qingdao,XW885,01/01/19,30/03/19,..3.5.7,WedFriSun,TAO,22:35,DMK,2:25,4:50,772
,China,Qingdao,XW886,31/03/19,19/07/19,..3.5.7,WedFriSun,DMK,15:20,TAO,21:25,5:05,772
,China,Qingdao,XW885,31/03/19,19/07/19,..3.5.7,WedFriSun,TAO,22:35,DMK,2:25,4:50,772
,China,Qingdao,XW886,21/07/19,24/07/19,..3...7,WedSun,DMK,16:40,TAO,22:45,5:05,772
,China,Qingdao,XW885,21/07/19,24/07/19,..3...7,WedSun,TAO,23:45,DMK,3:35,4:50,772
,China,Qingdao,XW886,26/07/19,26/07/19,....5..,Fri,DMK,17:45,TAO,23:50,5:05,772
,China,Qingdao,XW885,27/07/19,27/07/19,.....6.,Sat,TAO,1:05,DMK,4:55,4:50,772
,China,Qingdao,XW886,28/07/19,28/07/19,......7,Sun,DMK,16:20,TAO,22:25,5:05,772
,China,Qingdao,XW885,28/07/19,28/07/19,......7,Sun,TAO,23:40,DMK,3:30,4:50,772
,China,Qingdao,XW886,31/07/19,25/10/19,.23.5.7,TueWedFriSun,DMK,15:20,TAO,21:25,5:05,772
,China,Qingdao,XW885,31/07/19,25/10/19,.23.5.7,TueWedFriSun,TAO,22:35,DMK,2:25,4:50,772
,China,Qingdao,XW886,26/10/18,31/12/18,.23.5.7,TueWedFriSun,DMK,15:20,TAO,21:25,5:05,772
,China,Qingdao,XW885,26/10/18,31/12/18,.23.5.7,TueWedFriSun,TAO,22:35,DMK,2:25,4:50,772
,China,Shenyang,XW878,01/01/19,30/03/19,..34...,WedThu,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,01/01/19,30/03/19,..34...,WedThu,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,03/04/19,18/04/19,..34...,WedThu,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,03/04/19,18/04/19,..34...,WedThu,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,06/04/19,29/06/19,.....6.,Sat,DMK,4:00,SHE,10:15,5:15,772
,China,Shenyang,XW877,06/04/19,29/06/19,.....6.,Sat,SHE,11:35,DMK,16:10,5:35,772
,China,Shenyang,XW878,24/04/19,01/05/19,..3....,Wed,DMK,6:55,SHE,13:10,5:15,772
,China,Shenyang,XW877,24/04/19,01/05/19,..3....,Wed,SHE,14:30,DMK,19:05,5:35,772
,China,Shenyang,XW878,25/04/19,02/05/19,...4...,Thu,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,25/04/19,02/05/19,...4...,Thu,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,08/05/19,04/07/19,..34...,WedThu,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,08/05/19,04/07/19,..34...,WedThu,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,25/07/19,01/08/19,..34...,WedThu,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,25/07/19,01/08/19,..34...,WedThu,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,06/07/19,20/07/19,..34.6.,WedThuSat,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,06/07/19,20/07/19,..34.6.,WedThuSat,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,24/07/19,24/07/19,..3....,Wed,DMK,10:00,SHE,16:15,5:15,772
,China,Shenyang,XW877,24/07/19,24/07/19,..3....,Wed,SHE,17:15,DMK,21:50,5:35,772
,China,Shenyang,XW878,27/07/19,27/07/19,.....6.,Sat,DMK,4:00,SHE,10:15,5:15,772
,China,Shenyang,XW877,27/07/19,27/07/19,.....6.,Sat,SHE,11:35,DMK,16:10,5:35,772
,China,Shenyang,XW878,03/08/19,05/10/19,..34.6.,WedThuSat,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,03/08/19,05/10/19,..34.6.,WedThuSat,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,07/10/19,26/10/19,1.34.6.,MonWedThuSat,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,07/10/19,26/10/19,1.34.6.,MonWedThuSat,SHE,10:05,DMK,14:40,5:35,772
,China,Shenyang,XW878,27/10/18,31/12/18,1.34.6.,MonWedThuSat,DMK,2:20,SHE,8:35,5:15,772
,China,Shenyang,XW877,27/10/18,31/12/18,1.34.6.,MonWedThuSat,SHE,10:05,DMK,14:40,5:35,772
,China,Xi' An,XW890,08/07/19,15/08/19,1..4.6.,MonThuSat,DMK,21:40,XIY,2:25,3:45,772
,China,Xi' An,XW889,09/07/19,16/08/19,.2..5.7,TueFriSun,XIY,3:35,DMK,6:25,3:50,772
,China,Xi' An,XW890,16/08/18,31/12/18,1..4.6.,MonThuSat,DMK,21:40,XIY,2:25,3:45,772
,China,Xi' An,XW889,17/08/18,31/12/18,.2..5.7,TueFriSun,XIY,3:35,DMK,6:25,3:50,772
,India,Delhi,XW306,01/01/19,30/03/19,.2..5.7,TueFriSun,DMK,22:40,DEL,1:15,4:05,772
,India,Delhi,XW305,01/01/19,30/03/19,1.3..6.,MonWedSat,DEL,2:55,DMK,8:35,4:10,772
